,road,vol,speed,last-update-time
8162,公园中路(人民路-河南路),6.0,73.0,2012-11-14  21:17:09 
8163,公园中路(人民路-河南路),2.0,62.0,2012-11-14  21:16:09 
8164,公园中路(人民路-河南路),8.0,62.0,2012-11-14  21:15:07 
8165,公园中路(人民路-河南路),12.0,46.0,2012-11-14  21:11:09 
8166,公园中路(人民路-河南路),2.0,23.0,2012-11-14  21:10:09 
8167,公园中路(人民路-河南路),4.0,73.0,2012-11-14  21:09:09 
8168,公园中路(人民路-河南路),9.0,40.0,2012-11-14  21:08:09 
8169,公园中路(人民路-河南路),5.0,26.0,2012-11-14  21:07:09 
8170,公园中路(人民路-河南路),3.0,40.0,2012-11-14  21:06:09 
8171,公园中路(人民路-河南路),5.0,58.0,2012-11-14  21:05:08 
8172,公园中路(人民路-河南路),5.0,68.0,2012-11-14  21:04:08 
8173,公园中路(人民路-河南路),6.0,61.0,2012-11-14  21:03:08 
8174,公园中路(人民路-河南路),10.0,53.0,2012-11-14  21:02:08 
8175,公园中路(人民路-河南路),1.0,19.0,2012-11-14  21:01:08 
8176,公园中路(人民路-河南路),9.0,56.0,2012-11-14  21:00:08 
8177,公园中路(人民路-河南路),3.0,27.0,2012-11-14  20:59:08 
8178,公园中路(人民路-河南路),9.0,34.0,2012-11-14  20:58:08 
8179,公园中路(人民路-河南路),9.0,61.0,2012-11-14  20:49:05 
8180,公园中路(人民路-河南路),3.0,48.0,2012-11-14  20:48:05 
8181,公园中路(人民路-河南路),7.0,25.0,2012-11-14  20:47:05 
8182,公园中路(人民路-河南路),9.0,67.0,2012-11-14  20:46:05 
8183,公园中路(人民路-河南路),6.0,40.0,2012-11-14  20:42:04 
8184,公园中路(人民路-河南路),4.0,33.0,2012-11-14  20:31:06 
8185,公园中路(人民路-河南路),6.0,53.0,2012-11-14  20:30:05 
8186,公园中路(人民路-河南路),13.0,55.0,2012-11-14  20:29:05 
8187,公园中路(人民路-河南路),4.0,61.0,2012-11-14  20:28:05 
8188,公园中路(人民路-河南路),11.0,27.0,2012-11-14  20:27:05 
8189,公园中路(人民路-河南路),5.0,54.0,2012-11-14  20:26:05 
8190,公园中路(人民路-河南路),8.0,27.0,2012-11-14  20:25:05 
8191,公园中路(人民路-河南路),13.0,58.0,2012-11-14  20:23:03 
8192,公园中路(人民路-河南路),9.0,57.0,2012-11-14  20:22:04 
8193,公园中路(人民路-河南路),8.0,39.0,2012-11-14  20:21:04 
8194,公园中路(人民路-河南路),10.0,45.0,2012-11-14  20:20:04 
8195,公园中路(人民路-河南路),3.0,30.0,2012-11-14  20:19:04 
8196,公园中路(人民路-河南路),11.0,53.0,2012-11-14  20:18:04 
8197,公园中路(人民路-河南路),3.0,44.0,2012-11-14  20:17:04 
8198,公园中路(人民路-河南路),13.0,70.0,2012-11-14  20:16:04 
8199,公园中路(人民路-河南路),7.0,54.0,2012-11-14  20:15:04 
8200,公园中路(人民路-河南路),11.0,59.0,2012-11-14  20:14:04 
8201,公园中路(人民路-河南路),5.0,36.0,2012-11-14  20:13:04 
8202,公园中路(人民路-河南路),12.0,46.0,2012-11-14  20:12:04 
8203,公园中路(人民路-河南路),5.0,21.0,2012-11-14  20:11:03 
8204,公园中路(人民路-河南路),6.0,28.0,2012-11-14  20:10:04 
8205,公园中路(人民路-河南路),5.0,41.0,2012-11-14  20:09:03 
8206,公园中路(人民路-河南路),6.0,19.0,2012-11-14  20:08:03 
8207,公园中路(人民路-河南路),10.0,33.0,2012-11-14  20:07:03 
8208,公园中路(人民路-河南路),4.0,44.0,2012-11-14  20:06:01 
8209,公园中路(人民路-河南路),10.0,32.0,2012-11-14  20:05:03 
8210,公园中路(人民路-河南路),7.0,54.0,2012-11-14  20:04:03 
8211,公园中路(人民路-河南路),9.0,33.0,2012-11-14  20:03:03 
8212,公园中路(人民路-河南路),3.0,25.0,2012-11-14  20:02:03 
8213,公园中路(人民路-河南路),7.0,29.0,2012-11-14  20:01:03 
8214,公园中路(人民路-河南路),5.0,45.0,2012-11-14  20:00:03 
8215,公园中路(人民路-河南路),13.0,25.0,2012-11-14  19:59:03 
8216,公园中路(人民路-河南路),5.0,21.0,2012-11-14  19:58:02 
8217,公园中路(人民路-河南路),8.0,30.0,2012-11-14  19:57:02 
8218,公园中路(人民路-河南路),3.0,47.0,2012-11-14  19:56:00 
8219,公园中路(人民路-河南路),9.0,25.0,2012-11-14  19:55:02 
8220,公园中路(人民路-河南路),10.0,32.0,2012-11-14  19:54:02 
8221,公园中路(人民路-河南路),5.0,20.0,2012-11-14  19:53:02 
8222,公园中路(人民路-河南路),7.0,37.0,2012-11-14  19:52:02 
8223,公园中路(人民路-河南路),5.0,27.0,2012-11-14  19:51:02 
8224,公园中路(人民路-河南路),7.0,27.0,2012-11-14  19:50:02 
8225,公园中路(人民路-河南路),7.0,40.0,2012-11-14  19:49:02 
8226,公园中路(人民路-河南路),9.0,36.0,2012-11-14  19:48:02 
8227,公园中路(人民路-河南路),6.0,56.0,2012-11-14  19:47:01 
8228,公园中路(人民路-河南路),7.0,39.0,2012-11-14  19:46:01 
8229,公园中路(人民路-河南路),10.0,22.0,2012-11-14  19:44:59 
8230,公园中路(人民路-河南路),7.0,27.0,2012-11-14  19:44:01 
8231,公园中路(人民路-河南路),13.0,25.0,2012-11-14  19:42:59 
8232,公园中路(人民路-河南路),5.0,37.0,2012-11-14  19:42:01 
8233,公园中路(人民路-河南路),9.0,35.0,2012-11-14  19:41:01 
8234,公园中路(人民路-河南路),11.0,24.0,2012-11-14  19:40:01 
8235,公园中路(人民路-河南路),7.0,31.0,2012-11-14  19:39:01 
8236,公园中路(人民路-河南路),5.0,25.0,2012-11-14  19:38:01 
8237,公园中路(人民路-河南路),7.0,25.0,2012-11-14  19:37:00 
8238,公园中路(人民路-河南路),7.0,22.0,2012-11-14  19:36:01 
8239,公园中路(人民路-河南路),6.0,23.0,2012-11-14  19:35:01 
8240,公园中路(人民路-河南路),5.0,29.0,2012-11-14  19:34:00 
